name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Mariner,368926666,0,NMRN,0-AllShips,4-HSC,180,270,5-Moored,0.1,1738654787,59,10,34.151515,-119.206912,2025-02-04T07:45:46Z
Amada,338514896,0,AMADA,0-AllShips,37-Pleasure,-1,105,15-NotDefined,0,1738654642,17,4,33.620378,-117.928485,2025-02-04T07:45:46Z
Island Explorer,367565750,0,WDG7285,0-AllShips,6-Passenger,265.2,250,0-Underway(Engine),0,1738654804,22,8,34.244515,-119.26499,2025-02-04T07:45:46Z
Pedazo Fino,368121000,0,WDP2032,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655134,30,9,33.975665,-118.443385,2025-02-04T07:45:46Z
Palm To Palm,368238130,0,WDM7878,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654965,16,4,33.459723,-117.695727,2025-02-04T07:45:46Z
Rare Genes,338163045,0,K48RIV,0-AllShips,37-Pleasure,-1,302.8,15-NotDefined,0,1738654306,14,5,33.620357,-117.927448,2025-02-04T07:45:46Z
Tidalwave,338240395,0,,0-AllShips,37-Pleasure,337.5,332,15-NotDefined,0,1738655047,14,4,33.723518,-118.281258,2025-02-04T07:45:46Z
Amalthea,338351509,0,WSFW124,0-AllShips,37-Pleasure,192.2,128.8,15-NotDefined,0,1738655002,14,5,33.72105,-118.280303,2025-02-04T07:45:46Z
Nauti Skye,338397951,0,,0-AllShips,37-Pleasure,-1,50.3,15-NotDefined,0,1738655099,17,6,33.762605,-118.18345,2025-02-04T07:45:46Z
Eagle,366978690,8661654,WBP2187,0-AllShips,31-Towing,162.9,252,5-Moored,0,1738655133,33,10,33.730965,-118.26134,2025-02-04T07:45:46Z
Patricia Ann,367330510,9507879,WDE2845,0-AllShips,52-Tug,-1,308,0-Underway(Engine),0,1738655138,0,0,33.764043,-118.256728,2025-02-04T07:45:46Z
All The Way There,367755610,0,WDJ2141,0-AllShips,36-Sailing,208.5,85.2,15-NotDefined,0,1738655023,14,5,33.98356,-118.448905,2025-02-04T07:45:46Z
Aqualiberty,636015174,9592226,A8ZC3,9-NoInfo,8-Tanker,221.8,305,1-AtAnchor,0,1738655046,249,44,33.627173,-118.04961,2025-02-04T07:45:46Z
Grecian Formula,338044878,0,C5689JU,0-AllShips,37-Pleasure,348.5,5.5,15-NotDefined,0,1738655036,10,4,33.761582,-118.184315,2025-02-04T07:45:46Z
Knot@work,338164079,0,,0-AllShips,37-Pleasure,33.6,133.4,15-NotDefined,0,1738655037,23,6,33.972898,-118.453472,2025-02-04T07:45:46Z
